DWIVEDI        CLASSICAL       RUN
1.47384e-09    1.81264e-09    86
1.47274e-09    1.44347e-09    87
1.46856e-09    1.24194e-09    88
1.4661e-09     1.48519e-09    89
1.46753e-09    1.53559e-09    90
1.48543e-09    1.66667e-09    91
1.46608e-09    1.5464e-09     92
1.47746e-09    1.84511e-09    93
1.47243e-09    1.50838e-09    94
1.47264e-09    1.40591e-09    95
1.46791e-09    1.58175e-09    96
1.47142e-09    1.65931e-09    97
1.47303e-09    1.44109e-09    98
1.48286e-09    1.59799e-09    99
1.48006e-09    1.74938e-09    100
1.48186e-09    1.37402e-09    101
1.48318e-09    1.6254e-09     102
1.48329e-09    1.28731e-09    103
1.46641e-09    1.49434e-09    104
1.47602e-09    1.6916e-09     105
1.47079e-09    1.56091e-09    106
1.47561e-09    1.20159e-09    107
1.47286e-09    1.69486e-09    108
1.4725e-09     1.31708e-09    109
1.4778e-09     1.34776e-09    110
1.47618e-09    1.27598e-09    111
1.46371e-09    1.49331e-09    112
1.48102e-09    1.05607e-09    113
1.47747e-09    1.33272e-09    114
1.46766e-09    1.43389e-09    115
1.47138e-09    1.80621e-09    116
1.48081e-09    1.56009e-09    117
1.46793e-09    1.40766e-09    118
1.47946e-09    1.48423e-09    119
1.4647e-09     1.43023e-09    120
1.47933e-09    1.43485e-09    121
1.48812e-09    1.71105e-09    122
1.48685e-09    1.2348e-09     123
1.47959e-09    1.06754e-09    124
1.47236e-09    1.11256e-09    125
1.47516e-09    1.52568e-09    126
1.47211e-09    1.32366e-09    127
1.48305e-09    1.54031e-09    128
1.47051e-09    1.52627e-09    129
1.48312e-09    1.37971e-09    130
1.47241e-09    1.39478e-09    131
1.48259e-09    1.33852e-09    132
1.47064e-09    1.49316e-09    133
1.48049e-09    1.34176e-09    134
1.47836e-09    1.59649e-09    135
1.48324e-09    1.16078e-09    136
1.47772e-09    1.39735e-09    137
1.46872e-09    1.76782e-09    138
1.46374e-09    1.74221e-09    139
1.47134e-09    1.21983e-09    140
1.4635e-09     1.71028e-09    141
1.46671e-09    1.40842e-09    142
1.4793e-09     1.61848e-09    143
1.48039e-09    1.25578e-09    144
1.47545e-09    1.42385e-09    145
1.46985e-09    1.48004e-09    146
1.49501e-09    1.40349e-09    147
1.46926e-09    1.4049e-09     148
1.47273e-09    1.34656e-09    149
1.47406e-09    1.67521e-09    150
1.47229e-09    1.48876e-09    151
1.46711e-09    1.53544e-09    152
1.48223e-09    1.34009e-09    153
1.47544e-09    1.24598e-09    154
1.47373e-09    1.3421e-09     155
1.4844e-09     1.30545e-09    156
1.46331e-09    1.38271e-09    157
1.47046e-09    1.33103e-09    158
1.4783e-09     1.44694e-09    159
1.46603e-09    1.46274e-09    160
1.47949e-09    1.59811e-09    161
1.47232e-09    1.56539e-09    162
1.46722e-09    1.16607e-09    163
1.48447e-09    1.4015e-09     164
1.47847e-09    1.80077e-09    165
1.48067e-09    1.31696e-09    166
1.47226e-09    1.35592e-09    167
1.47029e-09    1.33133e-09    168
1.48022e-09    1.69101e-09    169
1.47417e-09    1.47627e-09    170
1.46845e-09    1.27595e-09    171
1.47633e-09    1.85542e-09    172
1.46761e-09    1.69435e-09    173
1.47865e-09    1.41079e-09    174
1.48562e-09    1.30012e-09    175
1.48977e-09    1.46405e-09    176
1.47996e-09    1.5881e-09     177
1.47221e-09    1.48633e-09    178
1.47747e-09    1.39968e-09    179
1.47374e-09    1.38566e-09    180
1.4562e-09     1.55328e-09    181
1.47752e-09    1.46676e-09    182
1.47092e-09    1.22934e-09    183
1.48634e-09    1.33591e-09    184
1.46738e-09    1.72656e-09    185
1.4709e-09     1.28758e-09    186
1.4799e-09     1.44255e-09    187
1.46708e-09    1.6155e-09     188
1.48236e-09    1.31742e-09    189
1.46612e-09    1.43054e-09    190
1.47148e-09    1.3674e-09     191
1.4676e-09     1.33069e-09    192
1.478e-09      1.59371e-09    193
1.47855e-09    1.56546e-09    194
1.48696e-09    1.52945e-09    195
1.47491e-09    1.25206e-09    196
1.48416e-09    1.26237e-09    197
1.47989e-09    1.1848e-09     198
1.48392e-09    1.29539e-09    199
1.47155e-09    1.52171e-09    200
1.47389e-09    1.67404e-09    201
1.47041e-09    1.4507e-09     202
